time filename action file_descriptor_flags file_status_flags file_owner file_group file_permission atime mtime ctime
2022-12-15 21:7:37 SESSION_MANAGER=local/dwoo-virtual-machine:@/tmp/.ICE-unix/5302,unix/dwoo-virtual-machine:/tmp/.ICE-unix/5302 open: w 33152 dwoo(uid:1000) dwoo(gid:1000) rw------- 1671106057 1671106057 1671106057 
2022-12-15 21:7:41 SESSION_MANAGER=local/dwoo-virtual-machine:@/tmp/.ICE-unix/5302,unix/dwoo-virtual-machine:/tmp/.ICE-unix/5302 open: r 33152 dwoo(uid:1000) dwoo(gid:1000) rw------- 1671106057 1671106061 1671106061 
2022-12-15 21:7:41 /../../../x86_64-linux-gnu/libm.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:7:41 /../../../x86_64-linux-gnu/libm.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:7:41 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:7:41 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:7:41 /../../../x86_64-linux-gnu/libc.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:7:41 /../../../x86_64-linux-gnu/libc.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101137 1657149803 1664094777 
2022-12-15 21:7:41 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:7:41 /libgcc_s.so open: r 33188 root(uid:0) root(gid:0) rw-r--r-- 1671101220 1651350594 1669186205 
2022-12-15 21:7:41 /home/dwoo/Desktop/bob-project/file_log/test.txt  write: HI 33188 dwoo(uid:1000) dwoo(gid:1000) rw-r--r-- 1671101632 1671106061 1671106061 
