signal_deliver 31
cod | 3844 | 0 | d | N | h | . | . | 16779.857903 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
gnome-terminal | 3132 | 0 | d | . | h | . | . | 16783.960932 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
vmtools | 1579 | 0 | d | . | h | . | . | 16783.966088 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
gnome-terminal | 3132 | 0 | d | . | h | . | . | 16783.971376 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
kworker/u256: | 7907 | 0 | d | . | . | . | . | 16787.803170 |  | signal_generate | : sig=2 errno=0 code=128 comm=hook2 pid=8204 grp=1 res=0 
bas | 8081 | 0 | d | . | . | . | . | 16794.531636 |  | signal_generate | : sig=9 errno=0 code=0 comm=hook2 pid=8204 grp=1 res=0 
hook | 8204 | 1 | d | N | . | . | . | 16794.532460 |  | signal_generate | : sig=17 errno=0 code=2 comm=bash pid=3150 grp=1 res=0 
gdbu | 1336 | 1 | d | . | h | . | . | 16840.625633 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
vmtools | 1579 | 1 | d | . | h | . | . | 16840.630968 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Chrome_ChildIO | 3947 | 0 | d | . | h | . | . | 16846.385603 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Xwaylan | 1699 | 0 | d | . | h | . | . | 16846.480264 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Xwaylan | 1699 | 0 | d | . | h | . | . | 16846.495177 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
CompositorTile | 3863 | 0 | d | . | h | . | . | 16846.500010 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
Xwaylan | 1699 | 0 | d | . | h | . | . | 16846.510063 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
kworker/u256: | 7907 | 0 | d | . | h | . | . | 16846.672409 |  | signal_generate | : sig=14 errno=0 code=128 comm=Xwayland pid=1699 grp=1 res=0 
